State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
"Andhra Pradesh",Prakasam,"Santhamaguluru APMC",Maize,Hybrid,FAQ,20/09/2026,2400,2480,2450
Keralam,Kozhikode(Calicut),"Mukkom Market",Beetroot,Beetroot,FAQ,20/09/2026,4800,5200,5000
Keralam,Kozhikode(Calicut),"Mukkom Market",Brinjal,Brinjal,FAQ,20/09/2026,4400,4800,4600
Keralam,Kozhikode(Calicut),"Mukkom Market",Cabbage,Cabbage,FAQ,20/09/2026,2400,2800,2600
Keralam,Kozhikode(Calicut),"Mukkom Market",Cucumbar(Kheera),Cucumbar,FAQ,20/09/2026,1800,2100,1900
Keralam,Kozhikode(Calicut),"Mukkom Market",Carrot,Carrot,FAQ,20/09/2026,7200,7800,7400
Keralam,Kozhikode(Calicut),"Mukkom Market","Green Chilli","Green Chilly",FAQ,20/09/2026,6000,6400,6200
Keralam,Kozhikode(Calicut),"Mukkom Market","Bhindi(Ladies Finger)",Bhindi,FAQ,20/09/2026,4400,4800,4600
Keralam,Kozhikode(Calicut),"Mukkom Market",Potato,Potato,FAQ,20/09/2026,2400,2800,2600
Keralam,Kozhikode(Calicut),"Mukkom Market",Pineapple,Other,Large,20/09/2026,8000,9000,8500
Telangana,"Ranga Reddy","Saroornagar,RBZ","Bottle gourd","Bottle Gourd",Medium,20/09/2026,1300,1300,1300
Telangana,"Ranga Reddy","Saroornagar,RBZ","Bitter gourd",Other,Medium,20/09/2026,3200,3200,3200
Telangana,"Ranga Reddy","Saroornagar,RBZ",Yam(Ratalu),"Yam (Ratalu)",Medium,20/09/2026,3500,3500,3500
Telangana,"Ranga Reddy","Saroornagar,RBZ","Bhindi(Ladies Finger)",Other,Medium,20/09/2026,4000,4000,4000
Telangana,"Ranga Reddy","Saroornagar,RBZ","Little gourd(Kundru)",Other,Medium,20/09/2026,3500,3500,3500
Telangana,"Ranga Reddy","Saroornagar,RBZ",Carrot,Other,Medium,20/09/2026,5000,5000,5000
Telangana,"Ranga Reddy","Saroornagar,RBZ","Green Chilli",Other,Medium,20/09/2026,4000,4000,4000
Telangana,Hyderabad,"RYTHU BAZAR FALAKNUMA","Other green and fresh vegetables",Other,"Grade A",20/09/2026,1800,1800,1800
Telangana,Hyderabad,"RYTHU BAZAR FALAKNUMA","Ladies Finger","Ladies Finger","Grade A",20/09/2026,4000,4000,4000
Telangana,Hyderabad,"RYTHU BAZAR FALAKNUMA",Cauliflower,Cauliflower,"Grade A",20/09/2026,2100,2100,2100
Telangana,Hyderabad,"RYTHU BAZAR FALAKNUMA","Cluster beans","Cluster Beans","Grade A",20/09/2026,4000,4000,4000
Telangana,Hyderabad,"RYTHU BAZAR FALAKNUMA","Bottle gourd","Bottle Gourd","Grade A",20/09/2026,1300,1300,1300
Telangana,Hyderabad,"RYTHU BAZAR FALAKNUMA","Field Bean(Anumulu)","Field Bean(Anumulu)","Grade A",20/09/2026,4500,4500,4500
Telangana,Hyderabad,"RYTHU BAZAR FALAKNUMA",Beetroot,Beetroot,"Grade A",20/09/2026,2800,2800,2800
Keralam,Idukki,"Kattappana Market",Ashgourd,Other,Medium,20/09/2026,3000,3200,3200
Keralam,Idukki,"Kattappana Market",Cowpea(Veg),Other,Medium,20/09/2026,5800,6000,6000
Keralam,Idukki,"Kattappana Market",Banana,Robusta,Medium,20/09/2026,2100,2400,2300
Haryana,Rewari,"Kosli APMC",Banana,Other,Medium,20/09/2026,2000,2000,2000
Haryana,Rewari,"Kosli APMC",Potato,Other,FAQ,20/09/2026,1000,1000,1000
Haryana,Sonipat,"Ganaur APMC",Carrot,Carrot,Medium,20/09/2026,4000,5000,4500
Haryana,Sonipat,"Ganaur APMC","Bottle gourd","Bottle Gourd",Medium,20/09/2026,1000,1200,1000
Haryana,Sonipat,"Ganaur APMC",Brinjal,Brinjal,Medium,20/09/2026,3000,4000,3500
Haryana,Sonipat,"Ganaur APMC",Yam(Ratalu),"Yam (Ratalu)",Medium,20/09/2026,2500,3000,2800
Haryana,Sonipat,"Ganaur APMC","Bitter gourd","Bitter Gourd",Medium,20/09/2026,2500,3000,2800
Haryana,Sonipat,"Ganaur APMC","Bhindi(Ladies Finger)",Bhindi,Medium,20/09/2026,2500,3000,2800
Haryana,Sonipat,"Ganaur APMC","Green Chilli","Green Chilly",Medium,20/09/2026,5000,6000,5500
Punjab,Gurdaspur,"Quadian APMC",Ginger(Green),Other,"Grade A",20/09/2026,7800,8000,7900
Punjab,Gurdaspur,"Quadian APMC","Green Chilli",Other,"Grade A",20/09/2026,2200,2400,2300
Punjab,Gurdaspur,"Quadian APMC","Bhindi(Ladies Finger)",Other,"Grade A",20/09/2026,3600,3800,3700
Punjab,Gurdaspur,"Quadian APMC",Tomato,Other,"Grade A",20/09/2026,2800,3000,2900
Keralam,Kollam,"Anchal Market","Bottle gourd","Bottle Gourd",Local,20/09/2026,2700,2800,2754.1
Keralam,Kollam,"Anchal Market",Capsicum,Capsicum,Local,20/09/2026,5600,5600,5600
Keralam,Kollam,"Anchal Market",Carrot,Carrot,Local,20/09/2026,5400,5400,5400
Keralam,Kollam,"Anchal Market",Banana,"Nendra Bale",Medium,20/09/2026,7500,7500,7500
Keralam,Kollam,"Anchal Market",Onion,Small,Local,20/09/2026,5500,5500,5500
Keralam,Kollam,"Anchal Market",Potato,Potato,Local,20/09/2026,3800,3800,3800
Keralam,Kollam,"Anchal Market",Tapioca,Other,Local,20/09/2026,3500,3500,3500
Keralam,Kollam,"Anchal Market",Banana,Poovan,Medium,20/09/2026,8600,8600,8600
Keralam,Kollam,"Anchal Market",Banana,"Red Banana",Medium,20/09/2026,7700,7700,7700
"Andhra Pradesh",NTR,"Nandigama APMC",Wood,Subabul,"Grade Range-1",20/09/2026,510,510,510
"Andhra Pradesh",NTR,"Nandigama APMC","Dry Chillies","Dry Chillies","Grade Range-1",20/09/2026,22100,22100,22100
Rajasthan,Jalore,"Jalore APMC",Cabbage,Cabbage,Local,20/09/2026,1500,2000,1800
Rajasthan,Jalore,"Jalore APMC","Bottle gourd","Bottle Gourd",Local,20/09/2026,800,1000,900
Rajasthan,Jalore,"Jalore APMC",Brinjal,Brinjal,Local,20/09/2026,1500,1800,1600
Rajasthan,Jalore,"Jalore APMC",Ginger(Green),Other,Local,20/09/2026,4000,4400,4200
Rajasthan,Jalore,"Jalore APMC",Cucumbar(Kheera),Cucumbar,Local,20/09/2026,1200,1400,1300
Rajasthan,Jalore,"Jalore APMC",Lemon,Other,Local,20/09/2026,2000,2200,2100
"Madhya Pradesh",Dewas,"Haatpipliya (F&V) APMC","Bhindi(Ladies Finger)",Bhindi,Local,20/09/2026,800,1000,900
Odisha,Bolangir,"Kantabaji APMC",Cabbage,Cabbage,"Grade B",20/09/2026,2000,3000,2500
Odisha,Bolangir,"Kantabaji APMC",Tomato,Other,"Grade B",20/09/2026,2000,2800,2400
Keralam,Kollam,"Sasthamkotta Market",Brinjal,Brinjal,Local,20/09/2026,4000,4000,4000
Keralam,Kollam,"Sasthamkotta Market",Colacasia,Other,Local,20/09/2026,5000,5000,5000
Keralam,Kollam,"Sasthamkotta Market",Banana,Palayamthodan,Local,20/09/2026,2500,2500,2500
Keralam,Kollam,"Sasthamkotta Market",Banana,Robusta,Local,20/09/2026,1800,1800,1800
Telangana,Wanaparthy,"Wanaparthy town APMC",Groundnut,Local,Local,20/09/2026,7381,8200,7696
Keralam,Alappuzha,"Harippad Market",Beetroot,Beetroot,FAQ,20/09/2026,6000,6500,6000
"Andhra Pradesh",Nandyal,"Atmakur (Nandyal District) APMC",Paddy(Common),Sona,FAQ,20/09/2026,2320,2441,2400
Punjab,Patiala,"Rajpura APMC",Banana,Other,"Grade A",20/09/2026,3300,3450,3400
Punjab,Patiala,"Rajpura APMC",Cauliflower,Cauliflower,"Grade B",20/09/2026,3000,3200,3100
Punjab,Patiala,"Rajpura APMC","Green Chilli","Green Chilly","Grade B",20/09/2026,2500,3000,2800
Punjab,Patiala,"Rajpura APMC",Potato,Local,"Grade A",20/09/2026,750,850,800
Punjab,Patiala,"Rajpura APMC",Onion,Local,"Grade A",20/09/2026,3900,4050,4000
Punjab,Sangrur,"Sangrur APMC",Potato,Local,"Grade B",20/09/2026,600,700,650
Punjab,Sangrur,"Sangrur APMC",Ridgeguard(Tori),Other,"Grade B",20/09/2026,1800,3000,2000
Punjab,Sangrur,"Sangrur APMC",Colacasia,Colacasia,"Grade B",20/09/2026,1600,2000,1800
Punjab,Sangrur,"Sangrur APMC",Pumpkin,Pumpkin,"Grade B",20/09/2026,1000,1500,1200
Punjab,Sangrur,"Sangrur APMC",Guava,Guava,"Grade B",20/09/2026,2500,3500,3000
