state,district,market,commodity,variety,grade,arrival_date,min_price,max_price,modal_price
Andhra Pradesh,Prakasam,Santhamaguluru APMC,Maize,Hybrid,FAQ,2026-09-20,2400.0,2480.0,2450.0
Keralam,Kozhikode(Calicut),Mukkom Market,Beetroot,Beetroot,FAQ,2026-09-20,4800.0,5200.0,5000.0
Keralam,Kozhikode(Calicut),Mukkom Market,Brinjal,Brinjal,FAQ,2026-09-20,4400.0,4800.0,4600.0
Keralam,Kozhikode(Calicut),Mukkom Market,Cabbage,Cabbage,FAQ,2026-09-20,2400.0,2800.0,2600.0
Keralam,Kozhikode(Calicut),Mukkom Market,Cucumbar(Kheera),Cucumbar,FAQ,2026-09-20,1800.0,2100.0,1900.0
Keralam,Kozhikode(Calicut),Mukkom Market,Carrot,Carrot,FAQ,2026-09-20,7200.0,7800.0,7400.0
Keralam,Kozhikode(Calicut),Mukkom Market,Green Chilli,Green Chilly,FAQ,2026-09-20,6000.0,6400.0,6200.0
Keralam,Kozhikode(Calicut),Mukkom Market,Bhindi(Ladies Finger),Bhindi,FAQ,2026-09-20,4400.0,4800.0,4600.0
Keralam,Kozhikode(Calicut),Mukkom Market,Potato,Potato,FAQ,2026-09-20,2400.0,2800.0,2600.0
Keralam,Kozhikode(Calicut),Mukkom Market,Pineapple,Other,Large,2026-09-20,8000.0,9000.0,8500.0
Telangana,Ranga Reddy,"Saroornagar,RBZ",Bottle gourd,Bottle Gourd,Medium,2026-09-20,1300.0,1300.0,1300.0
Telangana,Ranga Reddy,"Saroornagar,RBZ",Bitter gourd,Other,Medium,2026-09-20,3200.0,3200.0,3200.0
Telangana,Ranga Reddy,"Saroornagar,RBZ",Yam(Ratalu),Yam (Ratalu),Medium,2026-09-20,3500.0,3500.0,3500.0
Telangana,Ranga Reddy,"Saroornagar,RBZ",Bhindi(Ladies Finger),Other,Medium,2026-09-20,4000.0,4000.0,4000.0
Telangana,Ranga Reddy,"Saroornagar,RBZ",Little gourd(Kundru),Other,Medium,2026-09-20,3500.0,3500.0,3500.0
Telangana,Ranga Reddy,"Saroornagar,RBZ",Carrot,Other,Medium,2026-09-20,5000.0,5000.0,5000.0
Telangana,Ranga Reddy,"Saroornagar,RBZ",Green Chilli,Other,Medium,2026-09-20,4000.0,4000.0,4000.0
Telangana,Hyderabad,RYTHU BAZAR FALAKNUMA,Other green and fresh vegetables,Other,Grade A,2026-09-20,1800.0,1800.0,1800.0
Telangana,Hyderabad,RYTHU BAZAR FALAKNUMA,Ladies Finger,Ladies Finger,Grade A,2026-09-20,4000.0,4000.0,4000.0
Telangana,Hyderabad,RYTHU BAZAR FALAKNUMA,Cauliflower,Cauliflower,Grade A,2026-09-20,2100.0,2100.0,2100.0
Telangana,Hyderabad,RYTHU BAZAR FALAKNUMA,Cluster beans,Cluster Beans,Grade A,2026-09-20,4000.0,4000.0,4000.0
Telangana,Hyderabad,RYTHU BAZAR FALAKNUMA,Bottle gourd,Bottle Gourd,Grade A,2026-09-20,1300.0,1300.0,1300.0
Telangana,Hyderabad,RYTHU BAZAR FALAKNUMA,Field Bean(Anumulu),Field Bean(Anumulu),Grade A,2026-09-20,4500.0,4500.0,4500.0
Telangana,Hyderabad,RYTHU BAZAR FALAKNUMA,Beetroot,Beetroot,Grade A,2026-09-20,2800.0,2800.0,2800.0
Keralam,Idukki,Kattappana Market,Ashgourd,Other,Medium,2026-09-20,3000.0,3200.0,3200.0
Keralam,Idukki,Kattappana Market,Cowpea(Veg),Other,Medium,2026-09-20,5800.0,6000.0,6000.0
Keralam,Idukki,Kattappana Market,Banana,Robusta,Medium,2026-09-20,2100.0,2400.0,2300.0
Haryana,Rewari,Kosli APMC,Banana,Other,Medium,2026-09-20,2000.0,2000.0,2000.0
Haryana,Rewari,Kosli APMC,Potato,Other,FAQ,2026-09-20,1000.0,1000.0,1000.0
Haryana,Sonipat,Ganaur APMC,Carrot,Carrot,Medium,2026-09-20,4000.0,5000.0,4500.0
Haryana,Sonipat,Ganaur APMC,Bottle gourd,Bottle Gourd,Medium,2026-09-20,1000.0,1200.0,1000.0
Haryana,Sonipat,Ganaur APMC,Brinjal,Brinjal,Medium,2026-09-20,3000.0,4000.0,3500.0
Haryana,Sonipat,Ganaur APMC,Yam(Ratalu),Yam (Ratalu),Medium,2026-09-20,2500.0,3000.0,2800.0
Haryana,Sonipat,Ganaur APMC,Bitter gourd,Bitter Gourd,Medium,2026-09-20,2500.0,3000.0,2800.0
